Name on board,quantity,description,link,part #,unit price,notes,Updated component number,price for quantity
"C1, C7 ",5,0.1μF ceramic capacitor,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874,CC0805KRX7R9BB104,0.1,change this from an 0402 to something bigger,"C15, C16",0.5
"C2, C8, C10, C17 ",8,"470μF, 50V electrolytic capacitor",https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEE-FK1H471AM/1879849,EEE-FK1H471AM,1.93,,"C3, C4, C7, C8",15.44
"C3, C4, C5, C6 ",8,1μF ceramic capacitor,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B105KP8NNNC/3887604,CL10B105KP8NNNC,0.1,,"C1, C2, C5, C6",0.8
"C9, C16 ",5,0.33μF ceramic capacitor (instead of 0.68μF in schematic),https://www.digikey.com/en/products/detail/murata-electronics/GCM188R71C334KA37D/2591915,GCM188R71C334KA37D,0.16,,"C9, C10",0.8
"C12, C15 ",5,0.22μF ceramic capacitor,https://www.digikey.com/en/products/detail/murata-electronics/GCM155R71C224KE02D/4903702,GCM155R71C224KE02D,0.1,,"C11, C12",0.5
C13 ,5,10μF ceramic capacitor,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A106MQ8NNNC/3886777,CL10A106MQ8NNNC,0.1,,,0.5
"L1, L2 ",5,47μH (or 50?) inductor (instead of 22μH in schematic),https://www.digikey.com/en/products/detail/taiyo-yuden/LB3218T470K/1788929,LB3218T470K,0.14,,,0.7
R1 ,2,"10kΩ, 0.25W ",https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710KL/728483,RC1206FR-0710K,0.1,"resistor to VCC, to keep the device on",,0.2
R2 ,2,"10kΩ, 0.25W ",https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710KL/728483,RC1206FR-0710K,0.1,"resistor to GND, to keep the device on",,0.2
"R3, R4 ",4,"10kΩ, 0.25W ",https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710KL/728483,RC1206FR-0710K,0.1,"resistor to VCC, for the highest gain","R5, R6",0.4
"R6, R7 ",4,"4.7kΩ, 0.25W",https://www.digikey.com/en/products/detail/yageo/RC1206FR-074K7L/728887,RC1206FR-074K7L,0.1,,"R4, R3",0.4
U1,3,20-pin dip socket,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED20DT/4147598?s=N4IgTCBcDaIKIBEDMAGArAFkAgEasDkEQBdAXyA,ED20DT,0.38,,,1.14
n/a,2,8-ohm speaker,https://www.digikey.com/en/products/detail/visaton%E2%80%90gmbh%E2%80%90co%E2%80%90kg/FR%E2%80%9058%E2%80%908%E2%80%90OHM/9842337,FR 58 - 8 OHM,10.31,,,20.62
"J9, J10",2,audio connector,https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SJ1-3523N/738689?s=N4IgTCBcDaIMIAUCMgEAgMwFYxoHIpwCIgC6AvkA,SJ1-3523N,1.3,,,2.6
n/a,1,bluetooth receiver,https://www.amazon.com/KAIY-Bluetooth-Transmitter-Receiver-Headphone/dp/B0DCJ5VBCY/ref=sr_1_63?crid=2YBWP53VXUDFN&dib=eyJ2IjoiMSJ9.EP6-XpQJABKzad1C-d3PdBxQgfWkqR-RyD5_qWB5xc_eMcjdOmaA5G2nZW5qAhevsGgjuyVx7_lIC7kEviZWfFZlNitaTAfURStKLGpiuHQM22zbCrQ3pvBlU-KcFDdm8xiTkcZhsRE42yJl0csk_9HWR3kvJdqXOF95DDTVVQVaf9JieNRA2yBpEEXBZH19.77pAYyrmAPpsIkFg3E6raxBB3LIF6smuQ9tASPhaPIY&dib_tag=se&keywords=bluetooth+audio+receiver&qid=1729032327&sprefix=bluetooth+audio+receiver%2Caps%2C182&sr=8-63,n/a,9.99,,,
n/a,1,battery pack,https://www.amazon.com/Battery-Holder-Li-Ion-Envistia-Mall/dp/B07N5HYDLM/ref=asc_df_B07N5HYDLM/?tag=hyprod-20&linkCode=df0&hvadid=692875362841&hvpos=&hvnetw=g&hvrand=7809775569271876444&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9031970&hvtargid=pla-2281435177618&psc=1&mcid=ce2ac6002b2e39da93ee3f43b6b593d1&hvocijid=7809775569271876444-B07N5HYDLM-&hvexpln=73,n/a,1.49,,,
U2,3,class d audio amplifier,https://www.digikey.com/en/products/detail/texas-instruments/TPA3122D2N/1841855?s=N4IgTCBcDaICoAUCCBmAjGMARCBdAvkA,TPA3122D2,3.8,,,11.4
"C17, C18",5,100uF,https://www.digikey.com/en/products/detail/kemet/C0603X104M5RACTU/12082643,,,0603 cap,,
C14,2,0.1uF,https://www.digikey.com/en/products/detail/yageo/CC0603ZRY5V9BB104/2103081,,,0603 cap,,
C13 ,2,10uF,0603 cap,,,,total price,56.2
